,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
41,[      841.5      339.75],[      856.5      327.75],[      827.5      325.25],[      874.5      340.25],[        804      333.25],[      908.5         448],[        750      434.75],[        958         555],[        696         538],[        905       621.5],[      736.5       618.5],[        864         676],[        765       671.5],[        853         844],[        759         839],[      845.5       998.5],[      753.5       997.5],243.38063701518342,125.68309984989249,"[669.171875, 984.921875]","[267.65625, 1066.65625]",42,stand
42,[        842       339.5],[      857.5       327.5],[      828.5      324.75],[      875.5         340],[      804.5         333],[      908.5       447.5],[      750.5      434.75],[      956.5         551],[      695.5         536],[        905       600.5],[        746         596],[      864.5         675],[        766       670.5],[        853         843],[        759       838.5],[        845         998],[        753       997.5],251.0147884901587,111.402552468266,"[669.140625, 983.140625]","[267.25, 1066.25]",43,stand
43,[        843      339.75],[        858       327.5],[        829      324.75],[      875.5      340.25],[        805         333],[        909      447.25],[        751       434.5],[        954         552],[        697         535],[      898.5         576],[        753       571.5],[      864.5       673.5],[        766         669],[      853.5         842],[        759         837],[        845         997],[        753         997],269.8628619113113,94.84599878953398,"[672.265625, 980.015625]","[266.375, 1066.375]",44,stand
44,[      843.5      339.75],[        859       327.5],[      829.5      324.75],[      876.5      340.25],[      805.5         333],[      908.5       446.5],[        753         433],[        949       556.5],[        699       535.5],[        899         551],[      761.5       546.5],[      865.5         674],[      767.5       669.5],[        854         842],[        760         837],[      844.5       996.5],[        753         996],63.50991197151696,72.20025520871273,"[678.0625, 975.5625]","[266.25, 1066.25]",45,clap
45,[        844      338.75],[      859.5         327],[        830       324.5],[        877      340.25],[        806       332.5],[        907      445.75],[      754.5         431],[      940.5       561.5],[        706       538.5],[        900       530.5],[      769.5         526],[      864.5       672.5],[        768         668],[      853.5         841],[      760.5       835.5],[      844.5       995.5],[        753       995.5],36.42706305457743,54.580565624273575,"[685.1875, 968.1875]","[265.96875, 1065.96875]",46,clap
46,[        845       338.5],[      860.5      326.75],[        831       323.5],[        878      339.75],[        807      332.25],[        905      444.25],[        756         430],[        932       563.5],[        714         540],[        896         515],[      776.5         512],[        864         670],[      768.5       665.5],[      853.5         840],[        761       834.5],[        844         995],[      753.5       995.5],23.827786138816727,44.96985490658032,"[690.6875, 957.4375]","[266.09375, 1065.09375]",47,clap
47,[      845.5       337.5],[      861.5      326.25],[      831.5      322.75],[        879      339.75],[        807       332.5],[        903         443],[      757.5       429.5],[        920       561.5],[      723.5         542],[      890.5         505],[        784      502.25],[        864       668.5],[        769         664],[        853         839],[        761       833.5],[      843.5       994.5],[      754.5       995.5],19.40619207988923,39.8781101817087,"[696.484375, 947.234375]","[265.875, 1064.875]",48,clap
48,[        846      337.25],[        862      326.25],[      832.5      322.25],[        880      339.25],[        808      332.25],[        902       441.5],[      757.5         429],[        910       559.5],[      730.5         542],[        883         494],[        793       497.5],[      864.5       666.5],[      769.5       661.5],[      853.5         838],[      761.5       833.5],[        843       994.5],[      755.5       997.5],18.523605089111367,41.11094577038528,"[701.1875, 941.3125]","[265.8125, 1064.8125]",49,clap
49,[        847       336.5],[        863      325.25],[      833.5       321.5],[      880.5      338.75],[      808.5      331.75],[        903         441],[        757      428.25],[        906         555],[      736.5       539.5],[        873      487.25],[        805         493],[        864       666.5],[        769         661],[      853.5         838],[        761       833.5],[        844       994.5],[      755.5         997],24.46257678747515,45.38932715159729,"[704.875, 939.0]","[265.5625, 1064.5625]",50,clap
50,[      847.5      335.75],[      863.5       324.5],[        834       320.5],[        881      337.75],[      808.5      330.75],[        904       439.5],[        757      427.25],[        908         551],[      738.5         537],[        864      484.75],[        817       495.5],[        864         666],[        769       660.5],[      853.5       837.5],[        761         833],[        844       994.5],[        756         997],31.53558928943858,52.56816257176205,"[706.5, 940.0]","[264.34375, 1064.34375]",51,clap
